cast_member_list,vote_average,movie_count
Arshad Warsi,5.5,2
Arsher Ali,7.0,1
Arsinée Khanjian,6.15,2
Art Carney,6.1,1
Art Garfunkel,6.7,1
Art Hsu,4.5,1
Art Parkinson,6.2,1
Artem Mishin,5.0,1
Arthur Agee,7.7,1
Arthur Angel,6.65,2
Arthur Corber,6.1,1
Arthur Deschamps,3.8,1
Arthur Dupont,5.8,1
Arthur Hill,6.6,2
Arthur Kennedy,7.3,1
Arthur O'Connell,7.3,1
Artie Ahr,5.5,1
Artie Lange,5.9,2
Arturo del Puerto,2.9,1
Artyom Bogucharsky,7.7,1
Arundathi Nag,6.6,1
Aryana Engineer,5.6,1
Asa Butterfield,6.825,4
Ashanti,2.6,1
Ashleigh Gryzko,6.1,1
Ashley Bell,5.0,2
Ashley Benson,5.0,1
Ashley Greene,5.45,4
Ashley Hayes,3.2,1
Ashley Head,3.0,1
Ashley Hinshaw,5.9,1
Ashley Johnson,8.3,2
Ashley Judd,6.2,12
Ashley Laurence,6.9,1
Ashley Olsen,5.5,1
Ashley Palmer,5.9,1
Ashley Peldon,7.1,1
Ashley Scott,5.3,4
Ashley Tisdale,5.75,4
Ashley Williams,6.300000000000001,2
Ashlyn Gere,5.8,1
Ashraf Barhom,6.4,2
Ashton Holmes,6.633333333333333,3
Ashton Kutcher,5.800000000000001,13
Asia Argento,5.9,2
Asim Mujahid,2.8,1
Asin Thottumkal,4.7,1
Astrid Bergès-Frisbey,7.5,1
Astro,5.7,1
Ato Essandoh,6.8,1
Atossa Leoni,7.3,1
Atticus Shaffer,6.6,1
Attila Árpa,4.1,1
Aubrey Plaza,6.0,3
Audrey Devereal,4.4,1
Audrey Hepburn,7.133333333333333,3
Audrey Lynn Tennent,0.0,1
Audrey Tautou,6.966666666666666,6
Audrey Wasilewski,6.7,1
August Diehl,6.2,1
August Schellenberg,6.4,1
Augustus Prew,6.8,1
Aunjanue Ellis,6.4,4
Austin Abrams,6.1,1
Austin Basis,6.1,1
Austin Butler,5.0,2
Austin Lyon,6.8,1
Austin Michael Scott,3.2,1
Austin Nichols,7.2,1
Austin Stoker,5.5,1
Austin Stowell,8.3,1
